Cities,Countries,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Date
Vuktyl,RU,63.86,57.31,-19.3,88,93,1.6,02-09-2021
Busselton,AU,-33.65,115.33,55.0,97,90,6.8,02-09-2021
Provideniya,RU,64.38,-173.3,-5.3,77,0,13.9,02-09-2021
Boyolangu,ID,-8.12,111.89,75.5,88,93,2.2,02-09-2021
Honiara,SB,-9.43,159.95,78.6,82,30,6.2,02-09-2021
Rikitea,PF,-23.12,-134.97,78.4,71,48,6.9,02-09-2021
Charters Towers,AU,-20.1,146.27,73.4,92,78,11.4,02-09-2021
Hilo,US,19.73,-155.09,68.0,68,90,3.4,02-09-2021
Tamiahua,MX,21.27,-97.45,79.1,71,8,6.5,02-09-2021
Kawalu,ID,-7.38,108.21,72.6,90,96,1.2,02-09-2021
Cape Town,ZA,-33.93,18.42,72.0,83,20,21.8,02-09-2021
Quatre Cocos,MU,-20.21,57.76,80.0,73,20,6.9,02-09-2021
Cabo San Lucas,MX,22.89,-109.91,74.0,53,1,8.0,02-09-2021
Dikson,RU,73.51,80.55,-28.9,87,96,9.6,02-09-2021
Punta Arenas,CL,-53.15,-70.92,68.0,52,0,6.9,02-09-2021
Tasiilaq,GL,65.61,-37.64,17.6,57,75,16.1,02-09-2021
Hobart,AU,-42.88,147.33,50.0,81,90,5.8,02-09-2021
Bluff,NZ,-46.6,168.33,51.7,85,100,12.7,02-09-2021
Pastos Bons,BR,-6.6,-44.08,80.4,74,100,4.3,02-09-2021
Arkadelphia,US,34.12,-93.05,42.8,89,90,9.2,02-09-2021
Ushuaia,AR,-54.8,-68.3,64.4,55,20,4.6,02-09-2021
Saint-Ambroise,CA,48.55,-71.33,17.0,48,20,5.8,02-09-2021
Khatanga,RU,71.97,102.5,-20.1,84,0,9.6,02-09-2021
Kapaa,US,22.08,-159.32,67.0,68,90,10.4,02-09-2021
Hirara,JP,24.8,125.28,66.5,75,63,18.8,02-09-2021
Tuktoyaktuk,CA,69.45,-133.04,-40.0,74,20,9.2,02-09-2021
Clyde River,CA,70.47,-68.59,1.4,92,20,25.3,02-09-2021
Palauig,PH,15.44,119.9,78.4,73,64,7.0,02-09-2021
At-Bashi,KG,41.17,75.81,24.3,84,100,1.2,02-09-2021
Port Alfred,ZA,-33.59,26.89,72.0,89,9,2.6,02-09-2021
Bredasdorp,ZA,-34.53,20.04,70.0,80,0,1.0,02-09-2021
Jamestown,SH,-15.94,-5.72,68.3,87,23,14.8,02-09-2021
Mogzon,RU,51.74,111.96,14.3,93,100,2.3,02-09-2021
Teguldet,RU,57.31,88.17,-2.8,90,100,9.8,02-09-2021
Mahebourg,MU,-20.41,57.7,78.8,73,20,6.9,02-09-2021
Avarua,CK,-21.21,-159.78,82.4,83,100,4.6,02-09-2021
Hermanus,ZA,-34.42,19.23,70.0,80,0,1.0,02-09-2021
Tara,RU,56.89,74.37,-14.9,89,96,6.6,02-09-2021
Kavieng,PG,-2.57,150.8,82.4,78,98,9.5,02-09-2021
Owando,CG,-0.48,15.9,79.1,66,100,4.2,02-09-2021
Atuona,PF,-9.8,-139.03,79.4,76,1,19.5,02-09-2021
Saldanha,ZA,-33.01,17.94,66.6,84,0,25.1,02-09-2021
Butaritari,KI,3.07,172.79,81.0,82,0,17.1,02-09-2021
Isangel,VU,-19.55,169.27,77.0,88,20,7.6,02-09-2021
Karratha,AU,-20.74,116.85,82.5,51,0,13.3,02-09-2021
Anadyr,RU,64.75,177.48,5.0,78,27,2.2,02-09-2021
Itaituba,BR,-4.28,-55.98,87.8,66,40,8.0,02-09-2021
Narsaq,GL,60.92,-46.05,35.6,30,75,34.5,02-09-2021
Bethel,US,41.37,-73.41,30.0,86,90,4.6,02-09-2021
Domoni,KM,-12.26,44.53,80.5,80,100,10.4,02-09-2021
Charleville-Mezieres,FR,49.77,4.72,25.0,94,100,1.0,02-09-2021
Zirandaro,MX,18.45,-100.98,99.6,24,0,0.3,02-09-2021
Antofagasta,CL,-23.65,-70.4,73.0,64,20,15.0,02-09-2021
Trelew,AR,-43.25,-65.31,84.9,23,100,29.1,02-09-2021
Huaicheng,CN,23.91,112.19,54.7,95,100,3.4,02-09-2021
New Norfolk,AU,-42.78,147.06,50.0,81,90,5.8,02-09-2021
Chokurdakh,RU,70.63,147.92,-11.2,88,76,3.9,02-09-2021
Am Timan,TD,11.03,20.28,74.6,17,99,5.3,02-09-2021
Meiktila,MM,20.87,95.87,65.5,49,8,2.2,02-09-2021
Qaanaaq,GL,77.48,-69.36,17.7,73,0,4.4,02-09-2021
Torbay,CA,47.67,-52.73,34.0,93,90,38.0,02-09-2021
Pombia,GR,35.01,24.87,57.0,83,0,7.9,02-09-2021
Tiksi,RU,71.69,128.87,-16.9,83,100,3.8,02-09-2021
Laguna,BR,-28.48,-48.78,82.0,100,100,11.3,02-09-2021
Chornobayivka,UA,46.69,32.55,32.0,100,48,4.5,02-09-2021
Gazanjyk,TM,39.24,55.52,52.1,63,3,1.6,02-09-2021
Price,US,39.6,-110.81,48.2,29,40,13.8,02-09-2021
Carnarvon,AU,-24.87,113.63,73.4,100,0,18.4,02-09-2021
Nikolskoye,RU,59.7,30.79,7.0,84,20,2.2,02-09-2021
Chapais,CA,49.78,-74.85,10.4,72,90,3.4,02-09-2021
Abasolo,MX,20.45,-101.52,71.6,26,1,2.2,02-09-2021
Barrow,US,71.29,-156.79,-31.0,85,1,13.8,02-09-2021
Takoradi,GH,4.88,-1.76,82.1,80,77,11.0,02-09-2021
Vestmanna,FO,62.16,-7.17,30.2,86,20,10.4,02-09-2021
Pacific Grove,US,36.62,-121.92,57.0,71,1,2.9,02-09-2021
Albany,AU,-35.02,117.89,59.0,94,90,6.9,02-09-2021
Saint George,BM,32.38,-64.68,66.2,59,75,13.8,02-09-2021
Luderitz,NA,-26.65,15.16,69.1,72,0,12.0,02-09-2021
Georgetown,SH,-7.93,-14.42,77.5,77,100,13.2,02-09-2021
Altamira,BR,-3.2,-52.21,86.0,74,40,5.8,02-09-2021
Vaini,TO,-21.2,-175.2,80.6,89,90,23.0,02-09-2021
Ust-Kuyga,RU,70.02,135.6,-21.9,82,100,5.8,02-09-2021
Faanui,PF,-16.48,-151.75,82.0,73,0,15.2,02-09-2021
Dawlatabad,AF,36.41,64.91,52.8,67,48,3.0,02-09-2021
Baykit,RU,61.67,96.37,4.7,89,100,8.5,02-09-2021
Richards Bay,ZA,-28.78,32.04,75.6,91,97,4.9,02-09-2021
Ossora,RU,59.24,163.07,29.8,98,100,43.5,02-09-2021
Kodiak,US,57.79,-152.41,30.2,80,90,3.2,02-09-2021
Pangkalanbuun,ID,-2.68,111.62,74.6,98,100,2.4,02-09-2021
Tura,RU,64.28,100.25,-5.9,91,52,3.3,02-09-2021
Chardara,KZ,41.25,67.97,42.4,69,100,8.9,02-09-2021
Vila Franca Do Campo,PT,37.72,-25.43,62.0,94,40,17.3,02-09-2021
Bambous Virieux,MU,-20.34,57.76,80.0,73,20,6.9,02-09-2021
Ponta Do Sol,CV,17.2,-25.09,73.4,60,75,25.3,02-09-2021
Hami,CN,42.8,93.45,35.8,71,100,3.1,02-09-2021
Ribeira Grande,PT,38.52,-28.7,62.6,94,75,25.3,02-09-2021
Mansa,ZM,-11.2,28.89,66.8,91,100,1.5,02-09-2021
Yar-Sale,RU,66.83,70.83,-27.0,84,0,9.6,02-09-2021
Biak,ID,-0.91,122.88,77.7,79,95,1.6,02-09-2021
Estelle,US,29.85,-90.11,71.0,83,75,8.0,02-09-2021
Tessalit,ML,20.2,1.01,73.1,15,0,10.0,02-09-2021
Sorong,ID,-0.88,131.25,81.4,78,100,6.6,02-09-2021
Kizema,RU,61.11,44.83,-14.9,87,0,2.0,02-09-2021
Puerto Del Rosario,ES,28.5,-13.86,69.8,60,40,4.6,02-09-2021
Mago,RU,53.25,140.18,5.5,94,100,6.2,02-09-2021
Sterling,US,39.01,-77.43,46.0,56,75,10.4,02-09-2021
Manta,EC,-0.95,-80.73,78.8,78,75,4.6,02-09-2021
Saint-Philippe,RE,-21.36,55.77,80.6,74,90,17.3,02-09-2021
Ostrovnoy,RU,68.05,39.51,3.7,86,92,6.7,02-09-2021
Victoria,SC,-4.62,55.45,82.4,78,40,10.4,02-09-2021
Yellowknife,CA,62.46,-114.35,-10.0,69,75,19.6,02-09-2021
Muros,ES,42.78,-9.06,51.0,81,100,5.0,02-09-2021
Lebu,CL,-37.62,-73.65,68.0,65,2,14.4,02-09-2021
Caravelas,BR,-17.71,-39.25,79.7,75,81,7.9,02-09-2021
Ponta Delgada,PT,37.73,-25.67,62.0,94,40,17.3,02-09-2021
Atkarsk,RU,51.87,45.01,4.4,94,100,19.5,02-09-2021
Esperance,AU,-33.87,121.9,60.8,77,0,9.2,02-09-2021
Half Moon Bay,US,37.46,-122.43,56.0,82,40,4.6,02-09-2021
Emerald,AU,-23.53,148.17,75.2,78,75,10.4,02-09-2021
Puerto Ayora,EC,-0.74,-90.35,81.0,83,90,11.5,02-09-2021
Castro,CL,-42.47,-73.77,80.6,41,0,9.2,02-09-2021
Alice Springs,AU,-23.7,133.88,82.4,65,28,10.4,02-09-2021
Beringovskiy,RU,63.05,179.32,-8.3,91,98,10.5,02-09-2021
Geraldton,AU,-28.77,114.6,62.6,82,0,8.0,02-09-2021
Norman Wells,CA,65.28,-126.83,-41.8,74,20,2.3,02-09-2021
Dunedin,NZ,-45.87,170.5,50.0,91,100,2.0,02-09-2021
Bengkulu,ID,-3.8,102.27,75.8,89,100,5.0,02-09-2021
Neropolis,BR,-16.41,-49.22,78.8,61,75,19.6,02-09-2021
Boa Vista,BR,2.82,-60.67,89.6,45,75,13.8,02-09-2021
Praia Da Vitoria,PT,38.73,-27.07,64.4,82,75,22.6,02-09-2021
Farafangana,MG,-22.82,47.83,76.2,91,100,6.3,02-09-2021
Cherskiy,RU,68.75,161.3,-3.1,84,0,1.3,02-09-2021
Lipin Bor,RU,60.26,37.98,-4.5,92,90,2.8,02-09-2021
Bambanglipuro,ID,-7.95,110.28,76.7,86,100,5.1,02-09-2021
Klaksvik,FO,62.23,-6.59,32.0,86,20,3.4,02-09-2021
Lovozero,RU,68.0,35.01,3.9,93,4,9.0,02-09-2021
Acapulco,MX,16.86,-99.89,84.2,61,1,8.0,02-09-2021
Thompson,CA,55.74,-97.86,-23.8,69,20,8.0,02-09-2021
Hualmay,PE,-11.1,-77.61,76.7,67,55,10.9,02-09-2021
Bayangol,RU,50.7,103.47,7.4,90,100,0.8,02-09-2021
Nyimba,ZM,-14.56,30.81,68.6,96,100,0.6,02-09-2021
Kantang,TH,7.41,99.52,74.5,87,46,4.0,02-09-2021
Aksu,CN,41.12,80.26,30.7,85,83,1.2,02-09-2021
San Carlos De Bariloche,AR,-41.15,-71.31,82.0,29,40,5.8,02-09-2021
Kampene,CD,-3.6,26.67,74.2,71,100,0.3,02-09-2021
Nome,US,64.5,-165.41,-0.4,42,1,10.4,02-09-2021
Cidreira,BR,-30.18,-50.21,77.3,76,0,16.1,02-09-2021
Beloha,MG,-25.17,45.05,73.2,91,100,2.4,02-09-2021
Mitsamiouli,KM,-11.38,43.28,82.6,77,95,14.6,02-09-2021
Sao Bernardo,BR,-3.36,-42.42,76.9,89,100,2.3,02-09-2021
Hede,CN,33.77,120.25,36.7,85,100,6.1,02-09-2021
Okhotsk,RU,59.38,143.3,9.2,87,98,23.7,02-09-2021
Necochea,AR,-38.55,-58.74,71.0,61,40,7.0,02-09-2021
Port Elizabeth,ZA,-33.92,25.57,69.8,88,0,5.8,02-09-2021
Aktau,KZ,43.65,51.2,37.4,87,75,11.2,02-09-2021
Marshall,US,34.38,-86.33,60.0,63,90,4.6,02-09-2021
Andenes,NO,69.31,16.12,26.6,68,75,11.5,02-09-2021
Tak Bai,TH,6.26,102.05,77.0,88,20,3.4,02-09-2021
Severo-Kurilsk,RU,50.68,156.12,25.6,93,100,26.9,02-09-2021
Leningradskiy,RU,69.38,178.42,-26.0,83,0,10.7,02-09-2021
Marawi,SD,18.48,31.82,77.3,27,0,12.9,02-09-2021
Pringsewu,ID,-5.36,104.97,74.1,91,100,1.8,02-09-2021
Lompoc,US,34.64,-120.46,51.8,76,90,4.3,02-09-2021
Sargur,IN,11.98,76.42,64.6,56,12,3.6,02-09-2021
Lubango,AO,-14.92,13.49,60.2,90,100,3.1,02-09-2021
Queenstown,ZA,-31.9,26.88,66.0,90,49,6.7,02-09-2021
Pundaguitan,PH,6.37,126.17,80.5,82,100,7.2,02-09-2021
Shache,CN,38.42,77.24,41.0,58,72,5.7,02-09-2021
Grindavik,IS,63.84,-22.43,33.8,69,90,10.4,02-09-2021
Cockburn Town,BS,24.03,-74.52,76.3,79,0,14.2,02-09-2021
Bilibino,RU,68.05,166.44,-7.2,87,0,2.6,02-09-2021
Cervo,ES,43.67,-7.41,49.0,78,100,1.0,02-09-2021
Brae,GB,60.4,-1.35,32.0,55,75,20.7,02-09-2021
Columbus,US,39.96,-83.0,29.0,80,90,6.9,02-09-2021
Port Augusta,AU,-32.5,137.77,73.0,63,0,5.8,02-09-2021
Fort Nelson,CA,58.81,-122.7,-27.4,68,40,2.3,02-09-2021
Mar Del Plata,AR,-38.0,-57.56,69.8,64,40,17.3,02-09-2021
Zhaotong,CN,27.32,103.72,37.8,79,0,3.2,02-09-2021
Yulara,AU,-25.24,130.99,86.0,54,90,2.3,02-09-2021
Bontang,ID,0.13,117.5,78.3,86,50,3.4,02-09-2021
East London,ZA,-33.02,27.91,73.6,70,0,5.0,02-09-2021
Rivera,UY,-30.91,-55.55,80.3,54,74,4.4,02-09-2021
Boffa,GN,10.17,-14.03,80.5,58,25,8.4,02-09-2021
Corum,TR,40.5,34.75,47.9,61,0,6.4,02-09-2021
Aripuana,BR,-9.17,-60.63,83.7,72,85,5.5,02-09-2021
Hambantota,LK,6.12,81.12,77.0,78,20,10.4,02-09-2021
Abatskoye,RU,56.29,70.46,-13.0,89,100,7.0,02-09-2021
Vila Velha,BR,-20.33,-40.29,77.0,94,90,5.8,02-09-2021
Kutum,SD,14.2,24.67,60.1,30,86,6.5,02-09-2021
Katsuura,JP,35.13,140.3,41.0,36,20,11.5,02-09-2021
Port Lincoln,AU,-34.73,135.87,69.3,61,0,7.0,02-09-2021
Te Anau,NZ,-45.42,167.72,45.9,91,100,2.1,02-09-2021
Shebunino,RU,46.43,141.86,21.5,90,100,11.2,02-09-2021
Ardakan,IR,32.31,54.02,59.0,26,0,4.6,02-09-2021
Moron,MN,47.38,110.32,11.8,87,100,5.6,02-09-2021
Saskylakh,RU,71.92,114.08,-24.1,82,0,8.3,02-09-2021
Mezen,RU,65.85,44.24,-16.9,88,42,2.9,02-09-2021
Mackenzie,CA,55.3,-123.17,-18.4,47,1,2.3,02-09-2021
Novobirilyussy,RU,56.95,90.67,-2.8,90,98,7.2,02-09-2021
Upernavik,GL,72.79,-56.15,10.5,76,19,1.7,02-09-2021
Coihaique,CL,-45.58,-72.07,86.0,28,20,6.9,02-09-2021
Kavaratti,IN,10.57,72.64,81.2,68,0,11.0,02-09-2021
Hamilton,BM,32.29,-64.78,66.2,59,75,13.8,02-09-2021
Sawakin,SD,19.11,37.33,77.4,75,1,8.6,02-09-2021
Viedma,AR,-40.81,-63.0,82.0,36,97,1.0,02-09-2021
Sur,OM,22.57,59.53,71.8,66,100,8.6,02-09-2021
Gold Coast,AU,-28.0,153.43,70.0,64,40,5.8,02-09-2021
Boca Do Acre,BR,-8.75,-67.4,92.5,53,19,2.5,02-09-2021
Caramay,PH,10.18,119.24,76.6,88,100,4.6,02-09-2021
Bonoua,CI,5.27,-3.6,82.4,89,59,9.2,02-09-2021
Atasu,KZ,48.68,71.64,-4.9,92,100,14.3,02-09-2021
Raudeberg,NO,61.99,5.14,23.0,63,0,9.2,02-09-2021
Prescott Valley,US,34.59,-112.33,57.0,28,1,5.8,02-09-2021
Salalah,OM,17.02,54.09,75.2,64,0,2.3,02-09-2021
Nouadhibou,MR,20.93,-17.03,69.8,64,0,16.1,02-09-2021
Imperia,IT,43.97,7.78,53.0,82,40,28.8,02-09-2021
Chuy,UY,-33.7,-53.46,74.9,69,0,10.5,02-09-2021
Pyinmana,MM,19.73,96.22,61.9,57,0,3.2,02-09-2021
Quelimane,MZ,-17.88,36.89,82.4,61,20,3.4,02-09-2021
Cayenne,GF,4.93,-52.33,84.2,61,75,12.7,02-09-2021
Vanino,RU,49.09,140.25,5.0,85,100,8.4,02-09-2021
Povenets,RU,62.85,34.83,-4.6,92,33,1.9,02-09-2021
Goleniow,PL,53.56,14.83,16.0,86,75,2.3,02-09-2021
Elko,US,41.0,-115.5,46.4,34,90,9.2,02-09-2021
Vestmannaeyjar,IS,63.44,-20.27,33.8,100,75,18.4,02-09-2021
Pitea,SE,65.32,21.48,1.4,85,0,3.4,02-09-2021
Meulaboh,ID,4.14,96.13,78.1,84,9,4.2,02-09-2021
Fare,PF,-16.7,-151.02,81.9,72,0,14.5,02-09-2021
Ilulissat,GL,69.22,-51.1,19.4,45,1,9.2,02-09-2021
Nanortalik,GL,60.14,-45.24,30.9,88,90,13.8,02-09-2021
Sao Filipe,CV,14.9,-24.5,71.3,75,100,14.5,02-09-2021
Kahului,US,20.89,-156.47,68.0,77,75,9.2,02-09-2021
Talcahuano,CL,-36.72,-73.12,71.6,68,0,8.0,02-09-2021
Palmer,US,42.16,-72.33,29.0,86,90,5.8,02-09-2021
Vawkavysk,BY,53.16,24.45,13.2,97,100,4.9,02-09-2021
Altagracia De Orituco,VE,9.86,-66.38,84.6,46,49,9.4,02-09-2021
Presidente Olegario,BR,-18.42,-46.42,81.0,63,73,1.1,02-09-2021
Ancud,CL,-41.87,-73.82,80.6,41,0,9.2,02-09-2021
Palana,RU,59.12,159.97,30.2,93,100,41.2,02-09-2021
Umm Kaddadah,SD,13.6,26.69,70.4,22,98,10.5,02-09-2021
Bohicon,BJ,7.18,2.07,87.0,56,0,10.8,02-09-2021
Kogon,UZ,39.72,64.55,48.2,81,0,6.9,02-09-2021
Amalapuram,IN,16.58,82.02,65.4,81,5,1.4,02-09-2021
Jacksonville,US,30.33,-81.66,63.0,100,90,4.6,02-09-2021
Aksarka,RU,66.56,67.8,-29.3,83,0,2.8,02-09-2021
Lagdo,CM,9.05,13.73,82.5,13,48,6.5,02-09-2021
Saint-Augustin,CA,51.23,-58.65,27.9,96,100,15.0,02-09-2021
Kamina,CD,-8.74,24.99,65.9,96,0,3.1,02-09-2021
Octeville,FR,49.63,-1.64,28.4,80,90,23.0,02-09-2021
Birao,CF,10.28,22.79,72.2,20,69,4.9,02-09-2021
Sakakah,SA,29.97,40.21,60.8,51,40,11.5,02-09-2021
Ballina,AU,-28.87,153.57,71.6,64,75,8.0,02-09-2021
Pangnirtung,CA,66.15,-65.71,6.8,78,20,1.4,02-09-2021
Bhim Tal,IN,29.35,79.57,48.8,58,100,2.5,02-09-2021
Scottsbluff,US,41.87,-103.67,10.0,72,90,11.5,02-09-2021
Samarai,PG,-10.62,150.67,81.7,75,100,5.9,02-09-2021
Grand-Santi,GF,4.25,-54.38,83.4,66,100,3.8,02-09-2021
Livingston,US,40.8,-74.31,32.0,100,90,5.8,02-09-2021
Panacan,PH,9.25,118.41,78.8,89,20,4.6,02-09-2021
Touros,BR,-5.2,-35.46,87.8,58,40,17.3,02-09-2021
Bahia De Caraquez,EC,-0.6,-80.42,78.8,78,75,4.6,02-09-2021
Port Moresby,PG,-9.44,147.18,75.2,100,40,8.0,02-09-2021
Sorland,NO,67.67,12.69,31.1,85,0,21.6,02-09-2021
Kyaikto,MM,17.3,97.02,66.4,41,0,3.5,02-09-2021
Port Shepstone,ZA,-30.74,30.46,76.5,82,100,9.8,02-09-2021
Krasni Okny,UA,47.54,29.46,31.6,95,100,6.9,02-09-2021
Lorengau,PG,-2.02,147.27,81.6,78,100,4.4,02-09-2021
Glasgow,US,39.6,-75.75,39.0,87,90,6.9,02-09-2021
Abalak,NE,15.45,6.28,74.3,16,0,8.6,02-09-2021
Ola,RU,59.58,151.28,15.6,92,100,21.6,02-09-2021
